id,category,task,difficulty,why_metaplanning_relevant,notes
q01,personal_planning,"Составь план подготовки к экзамену за 2 недели, если у студента есть 2 часа в день и нужно повторить 4 темы.",easy,Требует разбиения задачи на этапы и распределения времени.,Стартовая простая задача на планирование.
q02,study_strategy,"Разработай план выполнения курсовой работы за 10 дней, если уже выбрана тема, но материалы ещё не собраны.",easy,Проверяет умение выбрать последовательность шагов и выделить ключевые этапы.,Простая учебная задача.
q03,team_organization,"Составь план подготовки групповой презентации на 3 человек за неделю, если нужно распределить роли и согласовать дедлайны.",easy,"Требует декомпозиции, распределения ролей и контроля сроков.",Простая организационная задача.
q04,learning_plan,"Предложи план самостоятельного изучения Python на 1 месяц для новичка, если цель — научиться писать простые скрипты.",easy,Проверяет базовое стратегическое планирование и структурирование обучения.,Простая образовательная задача.
q05,routine_improvement,"Составь план улучшения личной продуктивности студента во время сессии, если он часто откладывает задания на последний день.",easy,Проверяет переход от проблемы к пошаговому плану изменений.,Простая задача на организацию процесса.
q06,market_analysis,Сформируй план анализа рынка онлайн-образования для запуска нового курса по анализу данных.,medium,"Требует выбора стратегии исследования, декомпозиции и учёта нескольких факторов.",Средняя аналитическая задача.
q07,marketing_campaign,Разработай план маркетинговой кампании для мобильного приложения по изучению английского языка.,medium,Нужно выбрать стратегию продвижения и согласовать несколько каналов.,Средняя маркетинговая задача.
q08,project_planning,Спроектируй план запуска студенческой платформы для совместной подготовки к экзаменам за 8 недель при ограниченной команде и бюджете.,medium,Требует ресурсного планирования и контроля ограничений.,Средняя проектная задача.
q09,ambiguous_task,"Предложи лучший способ автоматизировать работу отдела компании, если почти нет исходных данных о процессах и ограничениях.",medium,Проверяет реакцию на неполную постановку и умение сначала запросить или структурировать недостающие данные.,Задача с неопределённостью.
q10,multi_strategy_choice,"Нужно повысить успеваемость студентов на онлайн-курсе. Выбери стратегию между изменением структуры курса, ИИ-тьютором и новой системой оценивания.",medium,Проверяет выбор между альтернативными стратегиями и обоснование решения.,Средняя задача на выбор стратегии.
q11,education_design,Разработай план образовательной программы по машинному обучению для студентов 2 курса с разным уровнем подготовки.,medium,"Требует согласования содержания курса, методов обучения и механизмов адаптации.",Средняя междисциплинарная задача.
q12,risk_management,"Создай стратегию управления рисками для небольшого IT-бизнеса, который запускает новый SaaS-продукт.",medium,Нужно структурировать разные типы рисков и предложить систему реагирования.,Средняя задача на системное планирование.
q13,process_improvement,"Построй план улучшения процесса подготовки лабораторных работ, если студенты часто сдают задания с повторяющимися ошибками.",medium,Проверяет переход от симптомов проблемы к плану изменений и профилактики.,Средняя задача на улучшение процесса.
q14,policy_analysis,Проанализируй проект новой политики университета по использованию ИИ студентами и преподавателями и предложи план её внедрения.,medium,Требует совместить нормативный анализ с практическим внедрением.,Средняя задача с несколькими группами интересов.
q15,curriculum_planning,"Спланируй курс по программированию для смешанной аудитории: часть студентов — новички, часть уже имеет опыт.",medium,Проверяет выбор стратегии для неоднородной аудитории и построение контрольных точек.,Средняя задача на адаптивное планирование.
q16,scientific_project,"Запланируй научный проект по применению ИИ для раннего выявления сердечно-сосудистых рисков с учётом регуляторных, этических и методологических ограничений.",hard,Это сложная междисциплинарная задача с высоким числом ограничений и необходимостью заранее выбрать стратегию.,Сложная исследовательская задача.
q17,ai_tool_coordination,"Спланируй образовательный проект с использованием нескольких ИИ-инструментов: текстовой модели, генератора изображений и системы тестирования.",hard,Проверяет координацию нескольких инструментов и построение общей архитектуры процесса.,Сложная задача на мета-координацию.
q18,business_case,"Построй систему мета-координации для бизнес-плана стартапа, объединяющую рыночные исследования, финансовое моделирование и конкурентный анализ.",hard,Требует интеграции нескольких методов в единую логику принятия решений.,Сложная бизнес-задача.
q19,social_project,"Разработай план комплексного проекта по поддержке первокурсников, учитывая образовательные, психологические и организационные аспекты.",hard,Требует междисциплинарного планирования и балансировки нескольких факторов.,Сложная социально-организационная задача.
q20,ethics_and_ai,"Сформируй план оценки и внедрения ИИ-ассистента в образовательный процесс с учётом качества помощи, рисков зависимости, прозрачности и академической добросовестности.",hard,Проверяет способность балансировать конфликтующие цели и строить стратегию с механизмами контроля.,Сложная этико-образовательная задача.
